text;label
Новодевичий монастырь;0
Храм Христа Спасителя;0
Тверская, 13;0
Сокол;0
Зарядье;0
Никольская улица;0
Большой Московский цирк;0
Дом на Беговой;0
Центральный Детский Магазин;0
Зарядье;0
Коломенское;0
Чистые пруды;0
Водоотводный канал;0
Коломенское;0
Царицыно;0
Каток Парк Горького;0
Говорово;0
Ботанический сад;0
Ростокинский акведук;0
Московская канатная дорога;0
Дом Наркомфина;0
Государственный исторический музей;0
Поселок художников (Сокол);0
Храм Василия Блаженного;0
Соборная площадь;0
Ильинка;0
ARTPLAY;0
Триумфальная площадь;0
Якиманская набережная;0
Кудринская площадь;0
Сад Эрмитаж;0
Центральный телеграф;0
Собор на Малой Грузинской;0
Смотровая площадка PANORAMA 360;0
Варварка;0
Кудринская площадь;0
Большой Московский цирк;0
Туристический инфоцентр;0
Патриаршие пруды;0
Чайный дом;0
ГУМ-каток;0
ГУМ;0
Высотка на Котельнической набережной;0
Андроников Монастырь;0
ГУМ (2);0
Северный речной вокзал;0
Третьяковская галерея;0
Храм Христа Спасителя;0
Кремль;0
Коломенское;0
Третьяковский мост;0
Стадион Лужники;0
Главное издание МГУ;0
Андроников Монастырь;0
Музей Победы;0
Дом;0
Коломенское;0
Лубянская площадь;0
Москворецкий мост;0
Москворецкая набережная;0
Царицыно;0
Царицыно;0
Кремль в Измайлово;0
Иоанно-Предтеченский женский монастырь;0
Новодевичий монастырь;0
Манежная площадь;0
Москворецкий мост;0
Триумфальная площадь;0
Московский планетарий;0
Варварка;0
Дом на ножках;0
Кремль в Измайлово;0
Усадьба Измайлово;0
Северный речной вокзал;0
Северный речной вокзал;0
Остров Балчуг;0
Новодевичий монастырь;0
Никольская улица;0
Даниловский рынок;0
Киевский вокзал;0
Новодевичий монастырь;0
Манежная площадь;0
Царицыно;0
Каток ВДНХ;0
Ботанический сад (2);0
Государственный исторический музей;0
Храм Христа Спасителя;0
Главное здание МГУ;0
Говорово;0
Туристический инфоцентр;0
Екатерининский парк;0
Третьяковский проезд;0
Манежная площадь;0
Донской;0
Центральный телеграф;0
Хлебозавод;0
Царицыно;0
Комсомольская;0
Зарядье;0
Дизайн-завод;0
Саввинское подворье;0
Хлебозавод;0
Якиманская набережная;0
Кремль в Измайлово;0
Главное здание МГУ;0
Поселок художников (Сокол);0
Центральный телеграф;0
