text,label
print('найди решение задачи'),1
print('реши эту задачу'),1
print('определи решение задачи'),1
print('найди ответ на задачу'),1
print('вычисли решение задачи'),1
print('найди решение проблемы'),1
print('справься с задачей'),1
print('определи ответ на задачу'),1
print('займись решением задачи'),1
print('найди подход к решению задачи'),1
print('постарайся решить задачу'),1
print('решай задачу'),1
print('предложи решение задачи'),1
print('разработай решение задачи'),1
print('выбери решение задачи'),1
print('придумай решение задачи'),1
print('разбери задачу и реши ее'),1
print('исследуй задачу и найди решение'),1
print('определи способ решения задачи'),1
print('разгадай задачу'),1
